itemid,entityid
180,611
92,564
41,398
69,315
255,593
175,556
47,352
12,393
51,449
195,372
253,637
174,545
119,692
223,595
211,489
176,330
85,668
133,526
211,403
105,362
98,323
153,585
80,544
70,361
147,377
184,516
249,407
104,445
223,673
21,666
85,629
47,650
199,393
290,542
43,326
207,395
53,421
24,737
26,670
292,510
228,559
157,507
157,374
214,502
208,342
141,627
23,308
204,725
9,329
19,749
34,444
60,676
238,447
235,593
46,335
77,631
100,665
229,633
51,548
131,717
84,539
185,744
220,526
156,438
191,531
167,651
140,736
22,740
250,457
243,699
97,526
102,721
243,573
82,732
41,323
151,402
241,606
4,521
93,351
156,723
152,559
52,332
97,537
220,453
173,319
31,540
64,433
140,679
71,543
255,581
200,410
157,484
294,683
279,434
35,624
233,692
144,482
284,341
26,676
90,584
101,445
123,392
66,333
265,400
204,600
258,412
293,672
35,478
281,301
215,481
149,403
31,683
37,484
151,645
285,572
59,567
56,325
4,679
120,480
295,546
58,544
185,588
157,537
169,688
57,568
271,360
163,633
144,460
16,414
254,424
272,363
12,724
208,466
1,507
279,584
255,546
289,306
213,482
237,326
72,346
11,360
255,411
56,387
108,507
160,650
254,346
295,365
51,701
119,511
237,508
86,326
133,550
219,413
272,508
53,309
266,598
212,597
81,692
235,325
274,439
259,435
171,717
63,558
66,301
265,514
189,332
271,508
168,673
259,660
31,461
84,536
259,313
179,538
68,630
177,478
90,517
252,634
127,542
236,540
124,641
13,497
189,680
46,466
16,462
290,561
64,654
72,302
230,424
241,629
70,593
268,718
196,387
20,732
235,455
12,328
34,341
5,362
189,655
132,709
272,624
42,413
140,343
259,647
29,539
116,416
29,368
160,477
202,359
128,527
191,401
121,535
221,735
264,435
202,551
236,479
74,661
273,482
105,748
98,738
56,624
35,607
32,343
202,492
64,599
242,625
212,669
144,705
266,574
294,587
73,637
37,657
67,373
106,535
46,506
208,321
184,358
67,354
81,547
25,382
286,556
261,494
80,471
159,745
263,687
214,584
84,339
226,481
231,308
86,582
47,608
228,523
76,682
242,487
5,690
13,432
1,486
92,530
124,366
146,586
115,726
229,463
97,510
232,483
204,523
128,694
71,407
205,579
191,610
14,567
237,393
164,346
193,341
66,586
8,548
85,496
240,308
33,741
67,351
222,342
53,458
151,308
198,439
39,446
54,332
110,478
18,350
193,311
272,309
104,547
174,551
173,698
264,534
29,518
208,370
256,304
43,556
212,637
66,357
206,673
37,357
260,553
103,371
190,562
259,655
166,304
195,544
126,733
238,321
2,713
169,334
3,319
172,418
271,650
263,355
272,319
137,558
83,571
241,465
295,712
163,532
54,350
192,602
278,713
222,319
185,441
125,630
228,399
53,369
124,572
21,558
203,736
75,727
295,566
199,364
42,645
84,638
80,612
235,318
243,348
217,347
27,596
68,720
208,388
30,517
281,397
80,479
96,551
145,381
166,701
217,533
168,732
178,392
243,319
96,546
168,437
32,372
232,699
287,614
201,632
253,735
186,627
271,694
60,455
23,617
11,500
182,459
191,327
13,585
12,340
265,508
9,499
211,602
179,584
248,488
86,550
278,503
163,403
60,749
182,713
3,480
155,557
221,660
9,690
212,626
203,605
207,515
21,626
216,707
295,425
136,437
137,629
46,472
151,346
102,508
28,360
87,480
74,640
2,618
204,502
29,474
262,582
96,625
135,425
135,471
119,561
71,320
213,651
116,680
224,368
212,450
208,337
204,676
150,739
255,316
95,718
121,357
40,341
98,659
238,553
248,475
245,584
166,535
140,531
201,404
242,434
58,625
270,306
89,508
133,586
2,329
292,360
43,504
100,543
58,540
107,561
138,332
126,660
138,400
12,543
93,340
232,605
45,533
210,611
142,374
262,557
263,420
59,333
82,307
77,462
136,649
254,591
228,615
22,452
128,438
69,305
19,351
179,523
12,455
229,479
