userid,friendsid
354,315
314,101
307,156
129,206
432,223
234,148
181,276
344,116
365,332
319,386
427,25
123,409
38,101
440,417
176,479
4,396
330,488
426,22
375,269
308,399
32,308
351,14
199,115
264,470
167,153
148,132
382,463
374,131
105,18
359,453
388,347
466,211
403,294
229,256
174,406
258,384
187,97
31,178
24,479
336,101
86,401
157,237
44,168
283,196
93,272
412,219
343,289
54,148
25,9
297,184
280,369
258,275
319,372
422,391
82,433
115,328
67,423
274,160
150,276
183,370
451,294
162,309
397,178
269,177
18,162
246,136
359,447
439,335
150,298
307,213
430,290
257,387
410,59
137,458
386,64
1,57
276,251
98,448
142,437
245,484
38,68
264,272
102,433
142,419
80,68
88,459
54,257
112,478
474,270
332,217
231,428
106,185
116,395
394,301
247,5
155,22
430,224
396,225
297,73
285,236
97,166
166,473
160,213
450,422
409,441
298,421
285,39
96,161
469,29
461,143
129,218
423,181
24,268
86,366
276,285
93,82
47,446
262,229
356,418
344,112
472,56
315,159
232,301
63,241
388,162
102,205
288,178
476,95
73,447
129,462
55,475
397,250
144,469
166,443
38,305
88,79
43,309
477,194
484,140
466,404
102,331
480,162
382,302
441,117
431,153
327,93
265,200
107,333
147,103
283,240
314,290
375,93
406,250
493,105
468,213
3,463
90,405
148,103
244,388
297,453
301,310
98,323
17,164
56,411
242,365
155,70
139,442
425,103
145,170
15,286
297,373
242,376
95,253
162,314
183,73
71,333
324,500
385,185
431,212
308,359
250,490
272,117
139,258
432,449
372,232
17,458
212,384
36,336
78,176
175,241
74,370
7,492
487,237
182,199
268,135
115,13
348,414
123,306
253,424
224,351
462,49
460,72
210,22
414,168
256,86
100,9
117,132
455,202
68,9
384,398
262,126
244,258
19,422
5,281
239,401
129,473
378,68
74,350
85,37
263,379
437,196
364,373
74,242
438,257
371,83
435,130
430,107
270,220
43,111
254,479
222,107
416,280
133,489
384,375
429,476
264,232
458,231
163,260
60,183
398,238
22,139
351,410
299,454
438,276
339,466
396,113
253,195
305,277
22,116
386,236
386,221
262,186
43,2
416,38
237,263
4,499
345,225
332,207
62,282
166,129
494,60
422,32
109,42
270,471
329,294
390,228
399,421
45,403
152,170
448,39
437,49
302,236
38,75
190,185
122,223
14,381
483,81
478,386
140,32
281,23
434,236
229,182
130,418
232,100
47,317
223,482
31,411
139,55
334,32
46,135
355,392
325,49
158,380
25,443
340,139
25,46
125,317
278,399
5,29
296,89
256,341
419,20
164,467
412,7
451,74
394,441
301,284
333,436
477,38
188,226
208,60
464,55
389,140
453,232
267,416
408,231
491,253
54,26
97,47
301,485
