itemid,categoriesid
144,189
31,388
7,113
265,261
154,109
168,205
214,2
14,82
127,268
120,13
280,8
139,26
21,308
66,177
236,364
237,19
138,80
17,62
182,362
145,149
264,394
10,320
147,288
209,234
54,32
234,172
87,438
140,402
203,358
252,94
287,140
154,376
60,176
120,365
244,271
31,244
231,139
239,15
248,427
35,100
162,299
48,379
216,445
141,91
77,41
183,61
71,306
115,66
146,7
29,30
225,449
114,417
191,122
209,115
204,335
265,151
265,111
127,220
32,154
17,398
41,217
172,231
236,60
41,64
286,376
246,175
79,224
223,50
214,99
115,48
135,378
197,161
261,59
259,285
225,276
236,352
252,200
203,121
60,32
180,13
131,331
189,233
80,415
133,334
21,117
20,246
16,312
255,73
55,324
76,337
54,313
263,156
300,411
281,381
191,7
6,263
196,46
122,50
226,161
261,372
284,424
17,52
163,4
171,84
36,213
288,77
3,271
121,82
158,314
1,377
286,447
152,420
189,157
6,408
53,133
96,351
293,128
23,412
95,40
68,354
210,47
114,202
262,215
203,196
14,373
168,86
211,380
51,203
270,205
271,201
186,131
94,203
64,14
219,55
282,264
299,322
263,160
228,111
6,389
160,97
42,45
186,331
129,217
48,342
206,378
24,369
177,130
183,269
86,429
28,85
255,138
172,114
127,310
4,389
206,218
118,312
280,395
280,323
166,294
156,285
222,169
122,319
133,154
91,446
15,397
97,311
3,138
89,428
118,183
248,433
215,353
60,300
110,178
272,297
38,311
6,262
277,233
95,152
286,120
278,383
105,21
242,130
207,23
67,303
34,152
257,274
139,404
136,198
257,35
253,6
101,358
6,296
92,149
203,68
115,149
223,295
31,159
210,15
149,96
273,167
93,170
181,21
294,285
109,27
141,371
18,214
252,411
108,300
175,341
206,36
8,231
135,131
16,207
229,204
247,42
184,125
253,113
59,201
212,313
261,287
192,56
143,135
102,446
274,301
209,424
168,26
105,128
30,184
38,437
189,77
282,232
290,408
241,13
282,265
280,435
88,381
209,230
95,420
82,198
59,407
20,237
21,144
275,325
203,279
128,327
268,364
77,246
125,24
249,228
27,374
223,62
138,39
150,182
288,269
207,159
117,73
223,290
152,278
285,28
15,14
19,304
189,420
187,233
71,366
28,120
153,427
114,92
198,80
37,387
245,153
255,298
293,162
30,349
86,323
96,268
29,395
156,292
19,393
156,303
95,82
226,273
258,82
232,345
145,208
157,112
29,247
19,324
4,48
130,387
279,118
297,280
265,225
245,140
46,20
1,335
143,129
150,178
130,7
178,234
124,267
4,422
67,52
268,156
153,147
235,193
14,446
111,419
31,214
210,96
3,327
211,405
153,231
287,101
104,448
6,386
48,314
265,65
285,289
2,273
98,248
83,367
246,53
173,328
98,437
4,378
200,123
187,46
234,361
280,421
169,160
137,420
48,128
151,18
14,75
125,92
83,375
290,397
240,217
4,302
270,270
110,147
191,342
37,253
249,285
130,390
208,67
1,295
141,184
179,319
275,363
92,86
103,127
247,173
177,394
173,277
120,14
188,438
212,340
205,143
184,424
159,311
73,204
152,418
46,110
41,32
46,371
199,218
50,283
190,212
289,294
244,59
137,211
139,394
192,394
293,26
300,64
208,148
136,128
81,46
55,82
53,75
198,79
277,158
153,66
107,206
176,47
250,29
112,138
91,97
15,49
41,443
193,154
25,40
32,48
162,447
139,1
123,340
38,235
112,127
28,230
46,372
201,26
78,414
25,428
18,67
138,354
50,156
70,27
276,35
11,208
102,234
230,421
203,342
195,352
156,219
236,403
186,142
6,375
176,277
141,436
84,208
184,74
46,337
211,240
202,115
88,190
133,39
214,400
193,177
123,332
149,105
290,42
72,83
202,310
41,266
142,164
276,74
240,191
108,232
211,86
222,25
157,292
69,434
51,407
123,314
133,148
290,30
284,369
53,91
77,408
6,220
280,351
26,50
266,131
1,34
275,155
60,105
11,234
235,349
233,156
235,235
253,99
271,20
67,344
271,154
231,284
107,173
233,114
218,295
161,1
133,148
49,4
190,74
106,21
28,303
145,70
138,330
233,304
19,136
274,293
266,208
280,341
103,13
90,430
289,209
106,295
261,238
286,29
171,286
251,70
11,270
163,232
151,64
213,274
193,239
112,227
181,147
188,346
248,235
219,368
101,43
63,107
249,264
281,192
299,284
122,236
175,162
169,93
297,141
200,343
244,308
23,446
171,233
15,96
144,32
47,428
216,251
260,324
192,331
1,28
135,51
237,231
109,83
264,106
216,307
294,400
201,48
14,238
118,218
261,336
292,240
37,101
5,69
4,397
178,62
265,420
53,235
270,99
43,359
194,179
77,34
140,68
12,397
126,97
144,316
17,41
210,36
56,195
265,291
209,398
16,315
88,95
101,311
23,37
73,164
80,262
180,265
170,288
72,59
276,246
76,21
8,291
196,174
24,323
260,67
14,226
108,95
142,63
12,248
148,353
211,215
129,260
205,265
23,348
169,305
97,409
1,213
100,313
81,95
145,123
59,177
206,320
157,86
76,279
112,439
290,80
50,46
77,49
277,113
12,430
235,257
232,425
97,22
261,246
262,408
42,274
72,353
137,251
264,300
194,331
