userid,itemid,I
105,286,1
365,293,1
395,168,1
271,108,0
384,195,1
7,187,1
349,175,0
68,196,1
482,265,1
250,15,0
394,1,0
489,192,0
401,10,1
256,32,0
62,149,1
148,194,1
192,248,0
118,107,1
498,270,0
141,20,1
22,70,0
141,250,1
330,41,0
97,78,1
379,42,0
167,224,0
292,152,1
79,240,1
265,293,1
351,152,0
337,218,1
59,98,0
62,39,1
120,26,0
158,100,0
394,160,0
72,297,1
94,139,0
30,37,0
410,15,0
431,59,0
205,289,0
30,258,1
265,126,1
211,6,0
499,203,0
319,188,1
403,17,1
500,105,1
247,129,0
287,121,1
129,283,1
441,292,0
199,23,1
188,152,1
313,26,1
265,260,0
46,187,0
298,12,1
384,258,0
265,123,0
494,48,1
293,128,0
339,146,1
437,149,1
71,153,1
317,95,0
137,144,1
447,280,1
151,18,1
208,210,1
265,174,1
59,45,0
9,138,0
183,124,0
379,47,1
159,111,0
148,187,0
473,182,1
320,67,1
347,176,1
214,208,1
318,163,0
42,234,0
148,108,0
203,147,1
459,296,0
374,145,1
168,49,0
159,227,0
387,76,1
229,200,0
319,103,1
72,253,1
209,160,0
156,83,1
140,14,1
406,251,0
387,48,1
39,19,1
347,57,0
205,292,0
399,231,0
446,207,1
316,129,0
103,251,1
33,156,1
162,237,1
174,2,0
275,181,0
494,291,1
37,100,0
77,119,0
28,243,0
35,264,0
316,106,0
335,215,0
239,225,1
472,127,1
169,297,0
306,264,1
449,44,1
45,270,0
153,76,1
198,191,0
178,166,0
336,201,0
215,268,0
464,162,0
134,109,1
219,233,0
114,254,1
319,198,1
225,83,0
196,48,1
40,98,1
360,75,1
457,174,0
34,176,1
111,229,1
48,155,1
342,29,0
273,259,1
296,134,1
81,248,0
368,26,1
466,232,1
366,210,0
379,47,0
435,149,1
450,145,0
381,186,1
178,51,0
194,276,0
83,197,0
239,229,0
393,82,0
359,49,1
142,134,1
326,209,0
353,44,1
176,284,1
457,137,1
460,258,1
249,251,0
66,42,1
347,154,1
181,280,1
410,98,0
467,229,0
69,226,0
474,94,1
101,40,1
281,44,0
101,136,1
15,160,0
483,136,1
281,173,1
65,199,1
183,63,0
143,291,1
178,33,1
20,272,1
352,122,0
113,274,0
344,19,1
181,245,1
391,172,0
367,109,1
274,204,0
78,105,0
42,240,1
113,153,1
233,242,0
26,161,0
168,13,0
65,258,0
292,77,0
140,256,0
164,62,0
367,247,0
303,240,1
316,48,1
43,187,0
403,228,1
27,227,0
171,164,0
254,269,0
463,196,1
299,281,1
85,6,1
445,223,1
395,234,0
143,32,0
172,220,0
376,50,0
180,125,0
92,13,1
341,1,1
475,108,0
112,268,0
171,43,0
98,6,0
489,178,0
371,102,0
379,265,1
231,159,0
13,43,1
129,184,0
178,195,0
201,56,1
50,110,0
352,22,0
216,108,1
151,36,1
51,299,0
496,13,0
402,55,0
493,100,1
118,75,1
65,109,0
451,1,0
201,162,1
286,155,0
282,95,0
476,129,1
295,110,0
8,201,0
298,265,1
320,29,1
104,259,0
250,188,0
260,231,0
492,275,0
303,206,1
323,224,0
257,205,0
266,139,1
339,150,1
450,282,1
123,235,0
252,26,1
424,236,1
339,87,0
234,122,1
388,144,0
112,144,0
88,289,1
177,38,1
164,79,1
257,171,0
412,29,0
169,141,1
394,239,1
346,119,1
91,186,0
86,143,1
69,221,0
231,117,1
54,19,0
51,23,1
456,116,1
467,295,0
416,203,1
66,185,1
249,128,1
121,74,0
270,298,0
326,96,1
100,130,0
137,260,0
287,24,1
66,12,0
384,265,1
302,137,0
434,66,1
367,234,0
65,215,1
442,297,1
318,98,1
235,10,0
441,22,1
360,25,0
278,81,0
396,97,0
309,160,1
426,102,0
287,52,0
386,243,1
138,241,1
233,120,1
73,191,0
264,239,1
19,127,0
271,213,0
191,290,1
131,67,0
291,44,1
223,119,1
138,278,1
228,205,1
221,42,0
199,263,0
365,185,0
266,108,1
477,97,1
409,51,1
135,156,0
360,19,0
92,112,1
199,277,1
276,193,0
85,187,1
80,30,0
447,119,0
384,243,1
458,296,1
337,166,0
225,179,1
457,218,1
195,229,0
220,15,0
215,125,1
263,38,1
227,53,1
192,103,1
390,280,1
479,272,0
436,65,1
156,73,1
253,273,1
475,281,1
279,69,1
105,208,1
276,269,1
29,299,0
303,99,1
18,218,1
74,165,1
279,120,1
390,253,1
56,173,1
247,32,0
227,13,0
19,289,0
24,155,0
47,257,0
267,54,0
388,71,1
293,243,0
143,176,0
122,185,1
42,250,1
33,80,0
218,194,0
463,170,0
475,186,1
82,12,0
414,231,0
337,266,0
194,277,1
56,266,0
171,289,1
275,157,1
211,262,0
444,108,1
457,247,1
426,94,1
63,5,1
107,3,1
276,291,1
244,110,0
221,27,1
348,147,0
414,72,0
487,137,0
92,208,1
462,110,1
237,61,0
284,253,0
62,138,0
72,137,1
313,230,0
250,23,1
194,116,0
187,257,1
189,68,0
59,127,1
444,177,1
384,294,0
350,223,0
276,18,1
346,145,0
219,137,0
421,98,0
312,31,1
256,194,1
353,262,0
111,287,1
340,236,1
364,71,1
191,243,1
266,79,0
66,77,0
456,246,0
456,110,1
99,252,1
200,100,1
367,180,0
110,109,1
486,72,0
444,245,0
90,64,1
286,224,1
153,234,0
184,35,0
207,29,1
439,41,1
454,152,0
339,246,1
419,102,0
102,77,0
246,275,0
282,233,1
371,174,1
187,16,0
227,25,0
490,220,1
446,139,0
258,113,0
191,88,0
169,153,1
260,237,1
145,264,1
487,282,0
8,56,0
325,175,1
312,275,1
3,226,0
101,254,0
290,79,1
161,186,0
96,217,1
6,36,1
45,63,1
43,8,0
131,136,1
240,108,1
287,159,0
69,223,0
196,197,0
109,214,1
152,266,1
255,2,0
80,236,0
397,181,0
68,224,1
25,90,1
250,9,1
324,170,0
213,189,1
482,199,0
243,62,1
322,212,1
255,240,0
377,187,0
274,199,1
60,129,0
379,39,1
181,89,0
177,258,1
43,131,0
290,76,0
446,227,1
483,273,1
339,199,1
451,271,1
37,243,0
258,4,0
285,193,0
285,74,0
96,83,0
364,1,0
430,123,1
494,105,0
458,86,1
441,50,0
272,137,0
92,138,0
269,58,0
310,38,0
147,62,0
306,293,1
122,127,0
90,84,1
145,153,0
477,115,1
390,1,0
50,77,1
353,248,0
123,106,0
27,55,0
235,187,0
143,184,0
322,132,0
194,8,1
330,233,0
65,181,1
303,122,0
311,20,0
303,122,0
310,184,0
51,46,0
500,94,1
315,199,1
173,270,1
92,136,1
425,161,0
271,243,0
365,291,0
121,140,0
5,149,0
36,87,1
309,300,0
428,150,0
438,150,1
97,115,0
211,20,0
448,281,0
353,1,1
482,91,0
102,254,1
360,90,0
332,67,1
318,279,0
166,63,1
127,175,1
406,68,1
150,78,1
275,79,0
283,224,0
404,248,1
241,103,1
223,191,0
297,121,1
476,45,1
376,235,0
285,175,1
251,256,1
177,15,0
431,146,0
391,109,1
317,36,0
405,220,0
435,82,0
58,32,0
368,168,0
464,247,0
292,215,0
123,57,0
364,68,0
346,208,0
96,66,1
307,65,0
280,127,1
374,187,0
408,115,1
269,49,1
246,230,1
56,75,1
263,174,0
87,292,1
149,121,1
441,177,1
377,273,0
275,189,1
422,284,1
240,193,1
379,4,1
355,87,0
125,82,0
133,126,1
398,17,0
18,296,1
367,188,1
75,13,1
253,234,0
323,2,0
1,116,0
219,73,1
26,43,1
172,148,0
474,197,1
322,74,0
366,153,0
452,239,0
290,110,0
312,113,0
63,273,1
216,77,1
197,127,0
78,293,1
369,38,0
168,126,1
340,65,0
188,47,0
6,194,0
264,123,0
275,198,0
175,123,0
427,103,0
415,97,1
144,124,0
479,3,0
474,164,0
52,217,0
158,136,0
181,162,0
226,168,1
403,190,1
64,64,1
147,101,0
399,81,1
70,251,1
21,189,0
272,26,1
370,154,0
7,208,0
16,269,0
352,299,0
352,104,1
326,281,0
239,69,0
351,183,0
435,291,0
133,172,1
293,232,0
207,34,0
221,295,0
380,147,1
139,270,0
296,186,0
159,272,0
245,286,1
431,144,0
448,14,1
156,140,0
206,173,0
22,185,1
37,72,0
379,253,0
27,192,0
299,213,0
426,154,1
101,103,1
245,10,1
209,129,1
478,74,0
43,172,0
490,264,1
408,272,0
55,54,1
491,32,1
477,84,1
473,282,1
273,98,1
377,78,1
329,150,1
341,146,0
95,143,0
182,268,0
124,124,0
21,251,1
86,71,1
73,229,0
41,58,1
158,201,0
170,248,0
45,177,0
482,201,0
164,113,1
58,215,1
348,88,0
67,204,1
116,25,0
183,111,0
408,48,0
154,69,0
356,38,1
239,52,1
152,105,1
370,196,0
417,130,1
365,147,1
262,169,1
185,163,0
483,226,0
295,97,1
417,79,0
151,14,1
408,292,0
226,81,1
47,68,1
163,147,1
295,291,1
211,219,0
290,166,1
312,124,0
394,123,1
214,290,0
466,80,1
184,29,1
344,38,0
326,22,0
100,66,1
60,252,0
240,117,1
71,290,0
240,92,1
437,170,0
2,154,1
200,148,1
16,202,0
6,240,0
350,145,0
42,77,0
282,10,0
413,258,1
444,3,0
408,142,0
330,4,1
211,85,1
151,130,0
348,248,0
37,55,0
432,121,0
180,249,1
183,44,0
33,296,1
384,263,0
333,247,0
302,276,0
159,192,0
426,280,0
63,76,1
386,46,0
493,240,0
232,190,0
232,146,0
391,36,1
326,275,1
210,292,0
231,258,1
115,73,1
399,123,1
191,3,0
151,54,1
207,104,1
424,75,1
129,171,1
71,243,1
408,258,1
230,156,0
16,28,0
355,126,1
56,147,0
68,166,1
428,297,0
179,273,1
359,69,1
68,298,0
126,197,0
288,203,1
305,214,0
79,160,1
129,113,1
375,34,0
375,7,1
170,254,1
188,209,0
154,149,0
119,183,1
229,156,0
485,63,0
359,211,0
253,94,1
448,112,1
206,144,0
20,104,1
228,56,0
358,227,0
99,211,1
13,163,1
239,18,0
493,22,1
32,262,0
97,239,1
219,150,0
234,117,0
150,106,1
367,199,0
53,162,1
144,38,1
60,238,0
415,298,0
15,141,1
74,126,1
284,17,0
30,79,0
84,166,1
485,151,0
136,63,1
419,142,0
48,38,0
474,173,0
326,35,1
119,99,1
360,291,1
223,21,1
144,128,1
10,203,0
331,248,1
252,148,0
222,249,1
85,218,1
320,76,0
379,197,0
45,286,0
436,252,0
7,212,0
482,280,1
188,50,0
365,77,1
471,278,1
433,205,1
484,233,0
466,106,1
150,196,0
351,166,0
368,267,1
32,150,1
450,214,0
266,300,1
51,168,1
122,105,0
404,88,1
251,15,0
265,32,0
175,69,0
374,154,0
192,191,1
64,102,0
29,231,1
224,122,0
97,232,1
231,43,0
245,62,1
124,47,1
220,95,0
74,235,0
205,17,1
340,143,1
83,154,1
43,135,1
12,179,1
101,16,1
270,207,0
79,208,0
172,278,0
476,158,0
93,147,0
101,42,0
265,21,0
219,144,1
71,218,0
274,235,1
156,70,1
381,8,0
305,107,0
222,269,0
44,58,0
3,114,1
46,139,0
98,298,1
198,209,0
83,62,0
138,158,0
191,132,1
460,284,1
468,235,1
33,171,0
231,37,0
279,195,0
139,251,1
306,105,0
